ID,Index,Time,Time1,Time2,State,Fatigue,Task,Resting_hr,HRRMean,HRRCV,Wrist_jerk_Mean,Wrist_jerk_CV,Wrist_ACC_Mean,Wrist_ACC_CV,Wrist_xposture_Mean,Wrist_xposture_CV,Wrist_yposture_Mean,Wrist_yposture_CV,Wrist_zposture_Mean,Wrist_zposture_CV,Hip_jerk_Mean,Hip_jerk_CV,Hip_ACC_Mean,Hip_ACC_CV,Hip_xposture_Mean,Hip_xposture_CV,Hip_yposture_Mean,Hip_yposture_CV,Hip_zposture_Mean,Hip_zposture_CV,Chest_jerk_Mean,Chest_jerk_CV,Chest_ACC_Mean,Chest_ACC_CV,Chest_xposture_Mean,Chest_xposture_CV,Chest_yposture_Mean,Chest_yposture_CV,Chest_zposture_Mean,Chest_zposture_CV,Ankle_jerk_Mean,Ankle_jerk_CV,Ankle_ACC_Mean,Ankle_ACC_CV,Ankle_xposture_Mean,Ankle_xposture_CV,Ankle_yposture_Mean,Ankle_yposture_CV,Ankle_zposture_Mean,Ankle_zposture_CV,HRRSD,Wrist_zposture_SD,Wrist_yposture_SD,Wrist_xposture_SD,Wrist_ACC_SD,Wrist_jerk_SD,Hip_zposture_SD,Hip_yposture_SD,Hip_xposture_SD,Hip_ACC_SD,Hip_jerk_SD,Chest_zposture_SD,Chest_yposture_SD,Chest_xposture_SD,Chest_ACC_SD,Chest_jerk_SD,Ankle_zposture_SD,Ankle_yposture_SD,Ankle_xposture_SD,Ankle_ACC_SD,Ankle_jerk_SD
8,8,180,90,100,0,0,MMH,64,0.394898452,0.08897193,14.24223137,0.998038185,8.879936187,0.30583898,45.56595445,0.318166622,23.17555367,0.726938238,-6.90025218,-4.135876984,18.4689047,0.904388894,4.70832517,0.400245459,-12.80247569,-0.982879766,65.90955365,0.14230392,14.10794527,0.344199712,20.30204852,0.879961358,5.188484876,0.646647674,-3.835577482,-1.881542382,67.08599022,0.294990076,17.9467983,0.999840533,55.59685765,1.200660287,5.904320072,0.935310479,2.41438962,3.973992069,69.66561541,0.13882581,-2.122554279,-3.117209301,0.035134877,28.53859418,16.84719615,16.84719615,2.715830626,14.21429075,4.855950699,9.37918785,9.37918785,1.884485769,16.7030723,17.94393638,19.78970135,19.78970135,3.355121677,17.86501819,6.61644594,9.671385488,9.671385488,5.522372435,66.75293906
8,8,180,100,110,0,0,MMH,64,0.401941907,0.088931186,14.28393534,1.025252586,8.220370799,0.273439177,45.15916444,0.338922006,26.12894064,0.681530835,-13.38145013,-1.628362623,18.85675074,0.918194897,4.726889433,0.394921013,-13.04274394,-0.943354089,66.04387659,0.138304289,13.90212446,0.351546232,20.87252989,0.907879493,5.341431324,0.604911351,-4.2017442,-1.632110028,66.57656418,0.283024172,18.8559712,0.922057419,57.85052593,1.191618708,6.170200032,0.943413575,3.089303023,3.272995464,68.98327791,0.143665155,-2.055830932,-3.140414558,0.03574517,21.78985323,17.80767873,17.80767873,2.247771426,14.64464165,4.887239471,9.134151395,9.134151395,1.866747963,17.3141723,17.38628814,18.84277695,18.84277695,3.231092438,18.94974185,6.456161388,9.910493313,9.910493313,5.821050471,68.93576897
8,8,180,110,120,0,0,MMH,64,0.428420163,0.090200658,14.15998889,0.936655197,8.753548071,0.333498204,44.46651602,0.334694152,24.42279764,0.658957161,-4.366514644,-6.887847029,23.48306502,0.823135291,4.993493301,0.39437157,-12.98975249,-0.947093628,65.89697509,0.14406351,13.87509225,0.338063028,25.56789393,0.803121524,5.691038234,0.560340215,-4.388860077,-1.527971672,65.53046975,0.287217511,19.56396197,0.889515681,66.56949897,1.083453955,7.032030257,0.88258656,3.323506233,3.123638181,67.07367047,0.143891573,-2.255392444,-3.030814626,0.038643781,30.07588492,16.0935774,16.0935774,2.91929256,13.26302718,4.6906557,9.49334953,9.49334953,1.969291793,19.32973956,17.40245095,18.82149842,18.82149842,3.188917588,20.53412594,6.835676407,9.651335951,9.651335951,6.206375394,72.12498694
8,8,180,120,130,0,0,MMH,64,0.396712279,0.139116398,13.25082071,1.025747797,9.192731735,0.284111225,46.85442662,0.337159847,21.07384222,0.890843818,-9.087985668,-2.979712933,18.34260848,0.955284593,4.576827205,0.416738758,-11.76231318,-1.06125065,66.98817742,0.136846992,13.7293969,0.321550742,20.35612833,0.950094879,5.365422771,0.582106604,-3.880322983,-1.726863835,66.34505142,0.279390307,18.98500359,0.910730269,55.2618557,1.252482938,6.155367081,0.922581973,1.844472379,5.705081995,68.53947198,0.138680358,-3.557462665,-2.055454351,0.055189183,27.07958843,18.77350206,18.77350206,2.611758274,13.59200015,4.41469776,9.167130579,9.167130579,1.907341285,17.52241128,17.29021743,18.53616428,18.53616428,3.123248028,19.34025328,7.312202113,9.505078511,9.505078511,5.678830706,69.21453139
8,8,180,130,140,0,0,MMH,64,0.42291743,0.086130585,14.50720949,0.95405391,9.695338269,0.311769401,46.50427818,0.318999392,19.47916787,0.973499433,-1.364924722,-22.20241846,20.11159295,0.842490051,4.723595259,0.383041051,-12.6562789,-0.918719043,66.52172384,0.129364819,13.7216986,0.338731525,21.90975717,0.860323806,5.558082422,0.555570037,-4.440874969,-1.548760168,65.60328685,0.273697031,19.82517198,0.852342794,61.49547039,1.138694126,6.443317981,0.910866854,3.173037555,3.071895696,68.29905652,0.141156251,-2.294796228,-2.789726322,0.036426126,30.30462984,18.96295888,18.96295888,3.022709805,13.84065994,4.647971892,8.605570764,8.605570764,1.809330893,16.94381697,16.89784248,17.95542483,17.95542483,3.087904057,18.84948568,6.401853441,9.640838765,9.640838765,5.869004779,70.02453091
8,8,180,140,150,0,0,MMH,64,0.432968483,0.080204111,13.04268921,0.991368585,10.36747951,0.312819176,38.37648677,0.416782171,23.29853386,0.868394364,20.33499973,1.538935991,20.51317977,0.850706874,4.747361911,0.393708123,-13.56018229,-0.819175479,66.20110411,0.132171392,13.76228467,0.352516746,21.25820994,0.908912419,5.827957391,0.517082679,-4.042893021,-1.813898452,63.85103796,0.271753952,22.09301984,0.702951394,60.22901377,1.147800028,6.323287303,0.916632241,2.900491238,3.331201682,68.49336052,0.139453706,-2.360712305,-2.785636824,0.034725852,31.29426296,20.23231549,20.23231549,3.243146398,12.93011235,4.851435809,8.749892082,8.749892082,1.869074947,17.45070304,15.53031909,17.3517719,17.3517719,3.013535821,19.32185102,6.576087128,9.551652961,9.551652961,5.796129011,69.13086369
8,8,180,150,160,0,0,MMH,64,0.439202159,0.065331068,13.86757286,0.969582904,9.24237195,0.280532512,47.22316291,0.323966617,22.20559704,0.813817625,-4.079330456,-6.684447586,20.94496521,0.864277202,4.747650031,0.391695876,-13.16878119,-0.889618707,66.51013256,0.130600782,13.31155362,0.338455557,22.23071203,0.893438872,5.953918087,0.508324073,-5.011509131,-1.426078452,63.27241186,0.278042123,22.39428822,0.692548324,63.75451832,1.110063316,6.374671367,0.89585669,3.010481224,3.161317771,68.29910201,0.136170278,-1.850248209,-3.460703403,0.028693546,27.26807062,18.07130624,18.07130624,2.59278582,13.44576157,4.505369295,8.686275323,8.686275323,1.859634938,18.10225593,15.50912677,17.59239572,17.59239572,3.026519892,19.86178228,6.403160273,9.300307708,9.300307708,5.710791991,70.77155202
8,8,180,160,170,0,0,MMH,64,0.447398655,0.080935094,14.34247144,0.999853955,9.216136194,0.319555425,45.17634628,0.308720175,21.42030642,0.844004456,-6.033872908,-4.92639285,20.23834193,0.840713714,4.855468584,0.404222123,-14.03513226,-0.957529363,65.62545495,0.155530891,13.30620684,0.318029259,21.61223136,0.881845119,6.117143462,0.5524868,-5.152288917,-1.348325117,61.9803275,0.332022015,23.45564954,0.759401048,62.16408917,1.141819747,6.499684924,0.912036454,3.219416785,3.086602713,68.14114843,0.142441608,-2.019901648,-3.342240981,0.036210252,29.72522835,18.07883407,18.07883407,2.945066318,14.34037679,4.231763101,10.20678548,10.20678548,1.962687819,17.01465161,17.81224484,20.57883323,20.57883323,3.379641016,19.05864074,6.750998066,9.706134753,9.706134753,5.92794959,70.98018457
8,8,180,170,180,0,0,MMH,64,0.473146093,0.063834736,13.88946433,0.992480734,8.642170257,0.256920601,44.31056334,0.347975187,24.98853227,0.635139686,-9.10440022,-3.061746906,22.41877251,0.856945995,4.818374782,0.398563585,-13.04468899,-0.879466894,66.39606293,0.134917698,13.69713558,0.300899314,23.43289163,0.887467012,6.126301683,0.49478225,-4.003440247,-1.517956853,62.4116797,0.281723098,23.75945145,0.676999999,64.7901808,1.102777499,6.7873451,0.893559033,2.879467317,3.521250666,67.35712273,0.141353458,-2.223928627,-3.018931365,0.030203156,27.8753692,15.87120854,15.87120854,2.220351576,13.78502575,4.1214587,8.958003967,8.958003967,1.920428727,19.21167732,16.08514861,17.58281176,17.58281176,3.031185331,20.79591832,6.713887886,9.521162219,9.521162219,6.064893524,71.44915354
9,9,100,10,20,0,1,MMH,76,0.333690878,0.137785164,19.64013493,1.087718544,10.39148235,0.272586663,28.71525798,0.649762099,41.47187953,0.542536612,20.43563939,0.814874908,20.49552915,1.006158826,3.005508232,0.606094512,-16.77898564,-0.533240104,64.06029609,0.139304283,14.34609833,0.337799591,12.64251556,1.134975324,3.181307092,0.97790027,1.893720004,4.360489029,73.24992326,0.252457525,10.28952512,1.573634041,46.736232,1.202110263,5.059509903,0.86852446,5.189037312,1.799682749,69.54458625,0.129097015,1.333215586,4.297072822,0.045977652,16.65248977,22.50001301,22.50001301,2.832579497,21.36293897,4.846106148,8.923873616,8.923873616,1.821622045,20.62175755,16.19194699,18.49249433,18.49249433,3.111001064,14.34894319,5.72892446,8.977998494,8.977998494,4.394308106,56.18210414
